Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Control Globe,Convert enemy [ice]freeze|into [fire]2x burn,1,inflict(FIRE[;] getstatus(ICE) * 2); removestatus(ICE[;] ALL);,Ice Torch,ODD,,PURPLE,change_power,change_power,,_fire,0,NO,NO,,,,,,,,,,,,,
Control Globe_upgraded,Convert enemy [fire]burn|into [ice]2x freeze,1,inflict(ICE[;] getstatus(FIRE) * 2); removestatus(FIRE[;] ALL);,Ice Torch,ODD,,PURPLE,,,,_ice,0,NO,NO,,,,,,,,,,,,,
Control Globe_downgraded,Convert enemy [ice]freeze|into [fire]burn,1,inflict(FIRE[;] getstatus(ICE)); removestatus(ICE[;] ALL);,Ice Torch,ODD,,PURPLE,,,,_fire,0,NO,NO,,,,,,,,,,,,,
Control Globe_weakened,Convert enemy [fire]burn|into [ice]freeze,1,inflict(ICE[;] getstatus(FIRE)); removestatus(FIRE[;] ALL);,Ice Torch,ODD,,PURPLE,,,,_ice,0,NO,NO,,,,,,,,,,,,,
Rubber Flippers,Freeze [ice]2 dice|Flip both dice,1,inflict(ICE[;] 2); sfx(~_ice~[;] ~~[;] 0.2); if (actualdice.length > 0) {var newdice = []; for (mydice in actualdice) if (mydice != null) newdice.push(7 - mydice.basevalue); givedice(newdice);},Megaflip,DOUBLES|DOUBLES,,BRIGHTCYAN,change_power,change_power,ice,_whooshweapons,0,NO,NO,,,,,,,,,,,,,
Rubber Flippers_upgraded,Freeze [ice]2 dice|Flip both dice,1,inflict(ICE[;] 2); sfx(~_ice~[;] ~~[;] 0.2); if (actualdice.length > 0) {var newdice = []; for (mydice in actualdice) if (mydice != null) newdice.push(7 - mydice.basevalue); givedice(newdice);},Megaflip,NORMAL|NORMAL,,BRIGHTCYAN,,,,_whooshweapons,0,NO,NO,,,,,,,,,,,,,
Rubber Flippers_downgraded,Freeze [ice]2 dice|Flip both dice,1,inflict(ICE[;] 2); sfx(~_ice~[;] ~~[;] 0.2); if (actualdice.length > 0) {var newdice = []; for (mydice in actualdice) if (mydice != null) newdice.push(7 - mydice.basevalue); givedice(newdice);},Megaflip,REQUIRE6|REQUIRE6,,BRIGHTCYAN,,,,_whooshweapons,0,NO,NO,,,,,,,,,,,,,
Rubber Flippers?,Freeze [ice]2 dice|Flip both dice,1,inflict(ICE[;] 2); sfx(~_ice~[;] ~~[;] 0.2); if (actualdice.length > 0) {var newdice = []; for (mydice in actualdice) if (mydice != null) newdice.push(7 - mydice.basevalue); givedice(newdice);},Megaflip,DOUBLES|DOUBLES,,BRIGHTCYAN,change_power,change_power,,_whooshweapons,0,NO,NO,alternateversion,,,,,,,,,,,,
Rubber Flippers?_upgraded,Freeze [ice]2 dice|Flip both dice,1,inflict(ICE[;] 2); sfx(~_ice~[;] ~~[;] 0.2); if (actualdice.length > 0) {var newdice = []; for (mydice in actualdice) if (mydice != null) newdice.push(7 - mydice.basevalue); givedice(newdice);},Megaflip,NORMAL|NORMAL,,BRIGHTCYAN,,,,_whooshweapons,0,NO,NO,alternateversion,,,,,,,,,,,,
Rubber Flippers?_downgraded,Freeze [ice]2 dice|Flip both dice,1,inflict(ICE[;] 2); sfx(~_ice~[;] ~~[;] 0.2); if (actualdice.length > 0) {var newdice = []; for (mydice in actualdice) if (mydice != null) newdice.push(7 - mydice.basevalue); givedice(newdice);},Megaflip,REQUIRE6|REQUIRE6,,BRIGHTCYAN,,,,_whooshweapons,0,NO,NO,alternateversion,,,,,,,,,,,,
Silicone Flippers,Burn [fire]2 dice|Flip both dice,1,inflict(FIRE[;] 2); sfx(~_fire~[;] ~~[;] 0.2); if (actualdice.length > 0) {var newdice = []; for (mydice in actualdice) if (mydice != null) newdice.push(7 - mydice.basevalue); givedice(newdice);},Megaflip,DOUBLES|DOUBLES,,RED,change_power,change_power,,_whooshweapons,0,NO,NO,,,,,,,,,,,,,
Silicone Flippers_upgraded,Burn [fire]2 dice|Flip both dice,1,inflict(FIRE[;] 2); sfx(~_fire~[;] ~~[;] 0.2); if (actualdice.length > 0) {var newdice = []; for (mydice in actualdice) if (mydice != null) newdice.push(7 - mydice.basevalue); givedice(newdice);},Megaflip,NORMAL|NORMAL,,RED,,,,_whooshweapons,0,NO,NO,,,,,,,,,,,,,
Silicone Flippers_downgraded,Burn [fire]2 dice|Flip both dice,1,inflict(FIRE[;] 2); sfx(~_fire~[;] ~~[;] 0.2); if (actualdice.length > 0) {var newdice = []; for (mydice in actualdice) if (mydice != null) newdice.push(7 - mydice.basevalue); givedice(newdice);},Megaflip,REQUIRE6|REQUIRE6,,RED,,,,_whooshweapons,0,NO,NO,,,,,,,,,,,,,
Repeater,[sword]<d6> dmg[;] repeat <evar:repeater> times|(1 per countdown reduce),1,attack(d); if (!simulation && e.getvar(~repeater_copy~) == 0) {e.setvar(~repeater~[;] (e.getvar(~repeater~) + 1) * (1 + getstatusself(FURY)) - 1); removestatusself(FURY[;] ALL); for (i in 0...e.getvar(~repeater~)) {runscript(~megaquest/delaycall~[;] [function (args) {var eq = runscript(~megaquest/createequipment~[;] [e.name[;] e.upgraded[;] e.weakened[;] e.x[;] 720[;] self[;] true]); eq.setvar(~repeater~[;] args[0]); eq.setvar(~repeater_copy~[;] 1); runscript(~megaquest/snap~[;] [eq[;] self[;] target[;] false]); eq.destroydice(); var diceindex = 0; for (mydice in actualdice) {var newdice = new elements.Dice(mydice.x[;] mydice.y); newdice.owner = self; newdice.copyfrom(mydice); self.dicepool.push(newdice); eq.assigndice(newdice[;] diceindex); diceindex++;} }[;] i * 0.5[;] e.getvar(~repeater~) - i - 1]);} },Overdrive,MAX2,,RED,increaserange,decreaserange,,_magic,0,NO,NO,,,,,e.setvar(~repeater~[;] 0);,,,e.setvar(~repeater~[;] e.getvar(~repeater~) + 1);,e.setvar(~repeater~[;] 0);,delay(1.0);,,e.preventdefault = true; e.maintainfury = true;,
Hot Hand,Burn [fire]<d6>[]. Each item use|makes this easier to play,1,inflict(FIRE[;] d); sfx(~_fire~[;] ~~[;] 0.2);,Ember,REQUIRE1,,RED,increaserange,change_power,,_whooshweapons,0,NO,NO,,,,,e.changeslots(new elements.Equipment(e.name + e.namemodifier).getslots());,,runscript(~megaquest/makeequipmenteasiertoplay~[;] [e]);,,,,,,
Hot Hand_downgraded,Burn [fire]<d6>[]. 50% item uses|make this easier to play,1,inflict(FIRE[;] d); sfx(~_fire~[;] ~~[;] 0.2);,Ember,REQUIRE1,,RED,,,,_whooshweapons,0,NO,NO,,,,,e.changeslots(new elements.Equipment(e.name + e.namemodifier).getslots());,,if ((self.equipmentused % 2) == 0) runscript(~megaquest/makeequipmenteasiertoplay~[;] [e]);,,,,,,
Domino Effect,Do [sword]<d6> damage[;] set|left slot to right dice,1,attack(d); sfxdamage(target[;] d); if (!simulation) {e.animate(~flashandshake~); e.changeslots([~REQUIRE~ + actualdice[1].basevalue[;] e.getslots()[1]]);},Shuriken,REQUIRE1|MAX5,,RED,change_power,change_power,,countdowntick_above3,0,NO,NO,,,,,,,,,,,,,
Domino Effect_upgraded,Do [sword]<d6> damage[;] set|left slot to right dice,1,attack(d); sfxdamage(target[;] d); if (!simulation) {e.animate(~flashandshake~); e.changeslots([~REQUIRE~ + actualdice[1].basevalue[;] e.getslots()[1]]);},Shuriken,REQUIRE1|NORMAL,,RED,,,,countdowntick_above3,0,NO,NO,,,,,,,,,,,,,
Domino Effect_downgraded,Do [sword]<d6> damage[;] set|left slot to right dice,1,attack(d); sfxdamage(target[;] d); if (!simulation) {e.animate(~flashandshake~); e.changeslots([~REQUIRE~ + actualdice[1].basevalue[;] e.getslots()[1]]);},Shuriken,REQUIRE1|MAX3,,RED,,,,countdowntick_above3,0,NO,NO,,,,,,,,,,,,,
Freeze Ray,Do [ice]<d6> damage|On 7[;] freeze [ice]2 dice,2,attack(d[;] ICE); sfx(~_ice~[;] ~~[;] 0.2); if (d == 7) inflict(ICE[;] 2);,Lockdown,REQUIRE1|NORMAL,,BRIGHTCYAN,change_power,change_power,ice,_plasma,0,NO,NO,,,,,,,,,,,,,
Freeze Ray_upgraded,Do [ice]<d6> damage|On 7[;] freeze [ice]2 dice,2,attack(d[;] ICE); sfx(~_ice~[;] ~~[;] 0.2); if (d == 7) inflict(ICE[;] 2);,Lockdown,FREE1|NORMAL,,BRIGHTCYAN,,,,_plasma,0,NO,NO,,,,,,,,,,,,,
Freeze Ray_downgraded,Do [ice]<d6> damage|On 7[;] freeze [ice]1 dice,2,attack(d[;] ICE); sfx(~_ice~[;] ~~[;] 0.2); if (d == 7) inflict(ICE);,Lockdown,REQUIRE1|NORMAL,,BRIGHTCYAN,,,,_plasma,0,NO,NO,,,,,,,,,,,,,
Freeze Ray?,Do [ice]<d6> damage|On 7[;] inflict [ice]2 freeze,2,attack(d[;] ICE); sfx(~_ice~[;] ~~[;] 0.2); if (d == 7) inflict(ICE[;] 2);,Lockdown,REQUIRE1|NORMAL,,BRIGHTCYAN,change_power,change_power,,_plasma,0,NO,NO,alternateversion,,,,,,,,,,,,
Freeze Ray?_upgraded,Do [ice]<d6> damage|On 7[;] inflict [ice]2 freeze,2,attack(d[;] ICE); sfx(~_ice~[;] ~~[;] 0.2); if (d == 7) inflict(ICE[;] 2);,Lockdown,FREE1|NORMAL,,BRIGHTCYAN,,,,_plasma,0,NO,NO,alternateversion,,,,,,,,,,,,
Freeze Ray?_downgraded,Do [ice]<d6> damage|On 7[;] inflict [ice]1 freeze,2,attack(d[;] ICE); sfx(~_ice~[;] ~~[;] 0.2); if (d == 7) inflict(ICE);,Lockdown,REQUIRE1|NORMAL,,BRIGHTCYAN,,,,_plasma,0,NO,NO,alternateversion,,,,,,,,,,,,
Illegal Device,Split dice in 3,1,givedice(split(d[;] 3)[;] ~splitdice~);,Unlucky Roll,REQUIRE1,,GREEN,change_power,change_power,,none,0,YES,NO,,,,,,,,,,,,,
Illegal Device_upgraded,Split dice in 4,1,givedice(split(d[;] 4)[;] ~splitdice~);,Unlucky Roll,REQUIRE1,,GREEN,,,,none,0,YES,NO,,,,,,,,,,,,,
Illegal Device_downgraded,Split dice in 2,1,givedice(split(d[;] 2)[;] ~splitdice~);,Unlucky Roll,REQUIRE1,,GREEN,,,,none,0,YES,NO,,,,,,,,,,,,,
Fierce Fight,Repeat next attack[;] disable|equipment without [quote][sword][quote],1,inflictself(FURY); if (!simulation && self.equipment.length > 0) for (eq in self.equipment) if (eq.skillcard == ~~ && !eq.hastag(~skillcard~) && eq.fulldescription.indexOf(~[sword]~) == -1) {if (eq.ready && eq.availablethisturn) {eq.animate(~flashandshake~); eq.availablethisturn = false; eq.unavailabletext = eq.displayname + eq.namemodifier; eq.unavailabledetails = [~Unavailable (Fierce Fight)~];} else if (!eq.ready && eq.availablenextturn) {eq.animate(~flashandshake~); eq.availablenextturn = false; eq.unavailabletext = eq.displayname + eq.namemodifier; eq.unavailabledetails = [~Unavailable (Fierce Fight)~];} },Fury,EVEN,,RED,simplify,complicate,,_fury,0,YES,NO,,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Reflector Field,Inflict [shock]<d6> shock|Better when [shield]shielded,1,inflict(SHOCK[;] d);,Zap,REQUIRE1,,YELLOW,increaserange,change_power,,_shock,0,NO,NO,,,,,e.changeslots(new elements.Equipment(e.name + e.namemodifier).getslots()); e.setvar(~reflector_field~[;] 0);,if (getstatusself(SHIELD) > 0 && e.getvar(~reflector_field~) == 0) {e.setvar(~reflector_field~[;] 1); runscript(~megaquest/makeequipmenteasiertoplay~[;] [e[;] 2]);},if (getstatusself(SHIELD) > 0 && e.getvar(~reflector_field~) == 0) {e.setvar(~reflector_field~[;] 1); runscript(~megaquest/makeequipmenteasiertoplay~[;] [e[;] 2]);},if (getstatusself(SHIELD) > 0 && e.getvar(~reflector_field~) == 0) {e.setvar(~reflector_field~[;] 1); runscript(~megaquest/makeequipmenteasiertoplay~[;] [e[;] 2]);},,,,,
Reflector Field_downgraded,Inflict [shock]<d6> shock,1,inflict(SHOCK[;] d);,Zap,REQUIRE1,,YELLOW,,,,_shock,0,NO,NO,,,,,e.changeslots(new elements.Equipment(e.name + e.namemodifier).getslots()); e.setvar(~reflector_field~[;] 0);,,,,,,,,
Thermoabsorber,Freeze [ice]1 dice|+2 to dice value,1,inflict(ICE); givedice(d + 2);,Megabump,EVEN,,BRIGHTCYAN,change_power,change_power,ice,_ice,0,NO,NO,,,,,,,,,,,,,givedice(d);
Thermoabsorber_upgraded,Freeze [ice]1[;] +2 to dice|[gray](Reuseable),1,inflict(ICE); givedice(d + 2);,Megabump,EVEN,,BRIGHTCYAN,,,,_ice,2,NO,NO,,,,,,,,,,,,,givedice(d);
Thermoabsorber_downgraded,Freeze [ice]1 dice|Return the dice,1,inflict(ICE); givedice(d);,Megabump,EVEN,,BRIGHTCYAN,,,,_ice,0,NO,NO,,,,,,,,,,,,,givedice(d);
Thermoabsorber?,Inflict [ice]1 freeze|+2 to dice value,1,inflict(ICE); givedice(d + 2);,Megabump,EVEN,,BRIGHTCYAN,change_power,change_power,,_ice,0,NO,NO,alternateversion,,,,,,,,,,,,givedice(d);
Thermoabsorber?_upgraded,Inflict [ice]1[;] +2 to dice|[gray](Reuseable),1,inflict(ICE); givedice(d + 2);,Megabump,EVEN,,BRIGHTCYAN,,,,_ice,2,NO,NO,alternateversion,,,,,,,,,,,,givedice(d);
Thermoabsorber?_downgraded,Inflict [ice]1 freeze|Return the dice,1,inflict(ICE); givedice(d);,Megabump,EVEN,,BRIGHTCYAN,,,,_ice,0,NO,NO,alternateversion,,,,,,,,,,,,givedice(d);
Nautilus Shell,Add [shield]<d6> shield|Freeze [ice]1 dice,1,inflictself(SHIELD[;] d); inflict(ICE); sfx(~_ice~[;] ~~[;] 0.2);,Protection,MAX3,,BRIGHTCYAN,increaserange,decreaserange,ice,_shield,0,NO,NO,,,,,,,,,,,,,inflictself(SHIELD[;] d);
Nautilus Shell?,Add [shield]<d6> shield|Inflict [ice]1 freeze,1,inflictself(SHIELD[;] d); inflict(ICE); sfx(~_ice~[;] ~~[;] 0.2);,Protection,MAX3,,BRIGHTCYAN,increaserange,decreaserange,,_shield,0,NO,NO,alternateversion,,,,,,,,,,,,inflictself(SHIELD[;] d);
Power Pack,[shock]4 dmg + [shock]1 shock|[gray](Reuseable),2,attack(4[;] SHOCK); sfxdamage(target[;] 4); inflict(SHOCK);,Static Shock,EVEN,,YELLOW,change_power,change_power,,_shock,2,NO,NO,,,,,,,,,,,,,
Power Pack_upgraded,[shock]4 dmg + [shock]1 shock|[gray](Reuseable),2,attack(4[;] SHOCK); sfxdamage(target[;] 4); inflict(SHOCK);,Static Shock,EVEN,,YELLOW,,,,_shock,4,NO,NO,,,,,,,,,,,,,
Power Pack_downgraded,Do [shock]4 damage|[gray](Reuseable),2,attack(4[;] SHOCK); sfxdamage(target[;] 4);,Static Shock,EVEN,,YELLOW,,,,_shock,2,NO,NO,,,,,,,,,,,,,
Sonic Railgun,Do [weaken]4 damage|([weaken]Weaken on countdown),2,attack(4[;] WEAKEN); sfxdamage(target[;] 4);,Theremin,COUNTDOWN,4,ORANGE,change_power,change_power,,_plasma,0,NO,NO,,,,,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,runscript(~megaquest/delaycall~[;] [function (args) {if (e.remainingcountdown < e.getvar(~sonic_railgun~)) {inflict(WEAKEN); sfx(~_weaken~); e.animate(~flashandshake~);} e.setvar(~sonic_railgun~[;] e.remainingcountdown);}[;] 0]);,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,,,,
Sonic Railgun_upgraded,Do [weaken]6 damage|([weaken]Weaken on countdown),2,attack(6[;] WEAKEN); sfxdamage(target[;] 6);,Theremin,COUNTDOWN,6,ORANGE,,,,_plasma,0,NO,NO,,,,,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,runscript(~megaquest/delaycall~[;] [function (args) {if (e.remainingcountdown < e.getvar(~sonic_railgun~)) {inflict(WEAKEN); sfx(~_weaken~); e.animate(~flashandshake~);} e.setvar(~sonic_railgun~[;] e.remainingcountdown);}[;] 0]);,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,,,,
Sonic Railgun_downgraded,Do [weaken]4 damage,2,attack(4[;] WEAKEN); sfxdamage(target[;] 4);,Theremin,COUNTDOWN,4,ORANGE,,,,_plasma,0,NO,NO,,,,,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,e.setvar(~sonic_railgun~[;] e.remainingcountdown);,,,,
Transactor Revolver,Spend [gold]1 enemy gold|to do [sword]<d6> damage,2,attack(d); sfxdamage(target[;] d); target.gold--;,Harvest,EVEN,,YELLOW,simplify,complicate,,_plasma,0,NO,NO,showgold,,,,,,,,,,,,
Gotcha!,Steal random enemy|weapon for this battle,2,if (!simulation) {var weapons = []; switch (~~ + target.layout) {case ~EQUIPMENT~: weapons = runscript(~megaquest/getequipmentbycategory~[;] [~weapon~[;] target.equipment]); case ~SPELLBOOK~: {var spellEquipment = []; for (i in 1...7) if (Spellbook.spellname(i) != ~~) spellEquipment.push(new elements.Equipment(Spellbook.spellname(i))); weapons = runscript(~megaquest/getequipmentbycategory~[;] [~weapon~[;] spellEquipment]);} case ~DECK~: {var deckEquipment = []; for (card in Deck.getcards(~all~)) deckEquipment.push(card.equipment); weapons = runscript(~megaquest/getequipmentbycategory~[;] [~weapon~[;] deckEquipment]);}} if (weapons.length > 0) {var weapon = rand(weapons); giveequipment(weapon.name + weapon.namemodifier[;] false[;] self.stolencard == e[;] (self.stolencard != e ? e : null)); var gotchaEquipment = target.getvar(~mqgotchaequipment~); if (gotchaEquipment.length == null) gotchaEquipment = []; gotchaEquipment.push(weapon); target.setvar(~mqgotchaequipment~[;] gotchaEquipment);}} else bonus(1000); inflictself(~mqgotchaused~);,Steal,EVEN,,YELLOW,simplify,complicate,,useitem,0,NO,NO,excludefromrandomlists|cannotshapeshift,,,,,,,,,delay(1.0);,,,
Secret Compartment,Copy one of|your items,2,if (!simulation) {var copy = rand(getequipmentlist(self[;] [][;] [~skillcard~[;] ~cannotshapeshift~])); giveequipment(copy[;] true[;] self.stolencard == e[;] (self.stolencard != e ? e : null));} else bonus(getstatusself(~mqgotchaused~) > 0 ? 1000 : -1000);,Mailbox,EVEN,,YELLOW,simplify,complicate,,upgradeequipment,0,YES,NO,excludefromrandomlists|cannotshapeshift,,,,,,,,,delay(1.0);,,,
Power Spike,Do [shock]3 damage|Inflict [shock]1 shock,1,attack(3[;] SHOCK); sfxdamage(target[;] 3); inflict(SHOCK);,Zap,COUNTDOWN,6,YELLOW,twothirdcountdown,change_power,,_shock,0,NO,NO,,,,,,,,,,,,,
Bluff Sword,Do [sword]<d6> damage|Might switch target,2,attack(d); sfxdamage(target[;] d); // doesn't actually switch target lol,Plasma Gun,NORMAL,,PURPLE,change_power,change_power,,_metals,0,NO,NO,,,,,,,,,,,,,
Bluff Sword_upgraded,Do [sword]<d6> damage[;] chance of|switching target reduced,2,attack(d); sfxdamage(target[;] d);,Plasma Gun,NORMAL,,PURPLE,,,,_metals,0,NO,NO,,,,,,,,,,,,,
Bluff Sword_downgraded,Do [sword]<d6> damage[;] chance of|switching target doubled,2,attack(d); sfxdamage(target[;] d);,Plasma Gun,NORMAL,,PURPLE,,,,_metals,0,NO,NO,,,,,,,,,,,,,
Harpoon,Do [sword]<d6> damage[;] retrieve|the last item that was|directed at the enemy,2,attack(d); sfxdamage(target[;] d); if (!simulation && self.equipmenthistory.length > 0) {var eq = null; for (i in 0...(self.equipmenthistory.length)) if (!self.equipmenthistory[self.equipmenthistory.length - 1 - i].hastag(~cannotreuse~) && !self.equipmenthistory[self.equipmenthistory.length - 1 - i].hastag(~skillcard~) && self.equipmenthistory[self.equipmenthistory.length - 1 - i].y < 0 && self.equipmenthistory[self.equipmenthistory.length - 1 - i] != e) eq = self.equipmenthistory[self.equipmenthistory.length - 1 - i]; if (eq != null) {if (eq.reuseable != 0) {if (eq.ready && eq.usesleft < eq.reuseable) eq.animate(~flashandshake~); eq.usesleft = eq.reuseable; eq.updatereuseabledescription();} if (!eq.ready) {eq.ready = true; eq.active = true; eq.show = true; eq.removedice(); eq.x = e.x; eq.y = -eq.height * 1.5; eq.finalpos = new openfl.geom.Point(eq.x[;] 2180 / 2 - eq.height / 2); runscript(~megaquest/fixequipmentposition~[;] [self]);}}} else bonus(getstatusself(~mqharpoonitemsused~) > 0 ? 1000 : -1000); inflictself(~mqharpoonitemsused~);,Hook,MAX4,,GREEN,simplify,decreaserange,,_whooshweapons,0,NO,NO,excludefromrandomlists,,,,,,if (e.getvar(~harpoon_items_used~) < self.equipmentused) inflictself(~mqharpoonitemsused~); e.setvar(~harpoon_items_used~[;] self.equipmentused);,,,,,,
Cleaning Services,-1 dice to enemy|[gray](Reuseable),2,if (!simulation) runscript(~megaquest/addextradice~[;] [target[;] -1]); else bonus(1000); screenshake(); inflictself(~mqcleaningservicesused~);,Black Hole,ODD,,PURPLE,change_power,change_power,,_curse,2,NO,NO,,,,,,,,,,,,,
Cleaning Services_upgraded,-1 dice to enemy|[gray](Reuseable),2,if (!simulation) runscript(~megaquest/addextradice~[;] [target[;] -1]); else bonus(1000); screenshake(); inflictself(~mqcleaningservicesused~);,Black Hole,ODD,,PURPLE,,,,_curse,-1,NO,NO,,,,,,,,,,,,,
Cleaning Services_downgraded,-1 dice to enemy,2,if (!simulation) runscript(~megaquest/addextradice~[;] [target[;] -1]); else bonus(1000); screenshake(); inflictself(~mqcleaningservicesused~);,Black Hole,ODD,,PURPLE,,,,_curse,0,NO,NO,,,,,,,,,,,,,
Reverse Flow,[sword]3 dmg per missing dice|Refill enemy dice,2,var dmg = 0; var mult = 3; if (!simulation) {if (target.extradice < 0) {dmg += mult * -target.extradice; target.extradice = 0;} if (getstatus(~mqcpu-~) > 0) {dmg += mult * (getstatus(~mqcpu-~) / 2); target.roll_target += getstatus(~mqcpu-~); removestatus(~mqcpu-~[;] ALL);}} else dmg += mult * getstatusself(~mqcleaningservicesused~); attack(dmg); sfxdamage(target[;] dmg); removestatusself(~mqcleaningservicesused~[;] ALL);,Black Hole,COUNTDOWN,12,RED,change_power,change_power,,_whooshweapons,0,NO,NO,,,,,,,,,,,,,
Reverse Flow_upgraded,[sword]4 dmg per missing dice|Refill enemy dice,2,var dmg = 0; var mult = 4; if (!simulation) {if (target.extradice < 0) {dmg += mult * -target.extradice; target.extradice = 0;} if (getstatus(~mqcpu-~) > 0) {dmg += mult * (getstatus(~mqcpu-~) / 2); target.roll_target += getstatus(~mqcpu-~); removestatus(~mqcpu-~[;] ALL);}} else dmg += mult * getstatusself(~mqcleaningservicesused~); attack(dmg); sfxdamage(target[;] dmg); removestatusself(~mqcleaningservicesused~[;] ALL);,Black Hole,COUNTDOWN,12,RED,,,,_whooshweapons,0,NO,NO,,,,,,,,,,,,,
Reverse Flow_downgraded,[sword]2 dmg per missing dice|Refill enemy dice,2,var dmg = 0; var mult = 2; if (!simulation) {if (target.extradice < 0) {dmg += mult * -target.extradice; target.extradice = 0;} if (getstatus(~mqcpu-~) > 0) {dmg += mult * (getstatus(~mqcpu-~) / 2); target.roll_target += getstatus(~mqcpu-~); removestatus(~mqcpu-~[;] ALL);}} else dmg += mult * getstatusself(~mqcleaningservicesused~); attack(dmg); sfxdamage(target[;] dmg); removestatusself(~mqcleaningservicesused~[;] ALL);,Black Hole,COUNTDOWN,12,RED,,,,_whooshweapons,0,NO,NO,,,,,,,,,,,,,
Technokinesis,Do [sword]<d6> damage|On 6[;] jam enemy attack,2,attack(d); sfxdamage(target[;] d); if (d == 6) {inflict(~mqjam~); sfx(~_mqjam~[;] ~~[;] 0.2);},Microchip,MIN4,,RED,simplify,complicate,,none,0,NO,NO,,,,,,,,,,,,,
Security Breach,Jam next enemy attack,1,inflict(~mqjam~);,Microchip,REQUIRE5,,RED,change_power,doublerequirements,,_mqjam,0,NO,NO,,1,,,,,,,,,,,
Security Breach_upgraded,Jam enemy attack [mqjam]x2,1,inflict(~mqjam~[;] 2);,Microchip,REQUIRE5,,RED,,,,_mqjam,0,NO,NO,,,,,,,,,,,,,
Overpower,Get a six[;] but jam|your next attack,1,givedice(6); inflictself(~mqjam~);,Magic Six,REQUIRE1,,RED,simplify,change_power,,_mqjam,0,YES,NO,,1,,,,,,,,,,,
Overpower_downgraded,Get a new dice[;] but|jam your next attack,1,givedice(); inflictself(~mqjam~);,Magic Six,REQUIRE1,,RED,,,,_mqjam,0,YES,NO,,,,,,,,,,,,,
Randomizer,Blind [blind]1 dice[;]|get a new dice,1,inflict(BLIND); givedice();,Random Roll,MAX3,,PURPLE,simplify,complicate,blind,_blind,0,NO,NO,excludefromrandomlists|cannotsteal,,,,,,,,,,,,givedice();
Randomizer?,Inflict [blind]Blind for 1 turn[;]|get a new dice,1,inflict(BLIND); givedice();,Random Roll,MAX3,,PURPLE,simplify,complicate,,_blind,0,NO,NO,excludefromrandomlists|cannotsteal,,,,,,,,,,,,givedice();
Drain Bamage,Drain [heart]<d6> health[;] blind|[blind]ALL your dice next turn,1,drain(d); jinx(~Drain_Bamage~[;] ~blind [blind]ALL dice~[;] ~Blind [blind]ALL dice~[;] ~inflict(BLIND[;] ALL); sfx(\~_blind\~);~[;] self[;] target[;] 1[;] 0);,Stardust,MAX3,,PURPLE,change_power,decreaserange,blind,_drain,0,NO,NO,,,,,,,,,,,,,
Drain Bamage_upgraded,Drain [heart]<d6> health[;] blind|[blind]2 your dice next turn,1,drain(d); jinx(~Drain_Bamage+~[;] ~blind [blind]%VAR% dice~[;] ~Blind [blind]%VAR% dice~[;] ~inflict(BLIND[;] %VAR%); sfx(\~_blind\~);~[;] self[;] target[;] 1[;] 2);,Stardust,MAX3,,PURPLE,,,,_drain,0,NO,NO,,,,,,,,,,,,,
Drain Bamage?,Drain [heart]<d6> health[;]|self-blind [blind]2 next turn,1,drain(d); jinx(~Drain_Bamage~[;] ~blind for [blind]%VAR% turns~[;] ~Blind for [blind]%VAR% turns~[;] ~inflict(BLIND[;] %VAR%); sfx(\~_blind\~);~[;] self[;] target[;] 1[;] 2);,Stardust,MAX3,,PURPLE,change_power,decreaserange,,_drain,0,NO,NO,,,,,,,,,,,,,
Drain Bamage?_upgraded,Drain [heart]<d6> health[;]|self-blind [blind]1 next turn,1,drain(d); jinx(~Drain_Bamage+~[;] ~blind for [blind]1 turn~[;] ~Blind for [blind]1 turn~[;] ~inflict(BLIND); sfx(\~_blind\~);~[;] self[;] target[;] 1[;] 1);,Stardust,MAX3,,PURPLE,,,,_drain,0,NO,NO,,,,,,,,,,,,,
Void Chunk,Do [sword]<d6> damage|Inflict [poison]1 poison,1,attack(d); sfxdamage(target[;] d); inflict(POISON);,Poison Arrow,ODD,,PURPLE,simplify,change_power,,_poison,0,NO,NO,,1,,,,,,,,,,,
Void Chunk_downgraded,Do [sword]<d6> damage|Inflict [poison]1 poison,1,attack(d); sfxdamage(target[;] d); inflict(POISON);,Poison Arrow,MAX3,,PURPLE,,,,_poison,0,NO,NO,,,,,,,,,,,,,
